,SIM,display_size,screen_to_body_ratio,OS
1240,Dual,['5.2'],['72.4'],Android
1241,Single,['8.0'],['69.7'],Android
1242,Dual,['4.5'],['62.3'],Android
1243,Dual,['4.5'],['60.7'],Android
1244,Dual,['5.0'],['66.8'],Android
1245,Dual,['5.0'],['66.9'],Android
1246,Dual,['5.0'],['68.3'],Android
1247,Dual,['5.0'],['68.3'],Android
1248,Dual,['6.8'],['74.1'],Android
1249,Dual,['5.2'],['71.4'],Android
1250,Single,['5.0'],['65.9'],Android
1251,Dual,['7.0'],['74.5'],Android
1252,Dual,['5.0'],['65.6'],Android
1253,Dual,['4.0'],['56.4'],Android
1254,Single,['4.5'],['62.1'],Android
1255,Dual,['5.0'],[],Android
1256,Single,['4.5'],['62.1'],Android
1257,Dual,['3.5'],['51.7'],Android
1258,Dual,['6.0'],['72.9'],Android
1259,Dual,['5.5'],['73.2'],Android
1260,Dual,['6.0'],['78.0'],Android
1261,Dual,['5.5'],['70.6'],Android
1262,Dual,['5.0'],['67.0'],Android
1263,Single,['9.6'],['71.7'],Android
1264,Single,['8.0'],['69.7'],Android
1265,Single,['7.0'],['67.2'],Android
1266,Dual,['5.0'],['66.9'],Android
1267,Single,['5.0'],['67.0'],Android
1268,Single,['4.5'],['61.7'],Android
1269,Single,['5.5'],['70.3'],Android
1270,Single,['6.0'],['77.6'],Android
1271,Dual,['5.0'],['67.0'],Android
1272,Dual,['5.0'],['69.6'],Android
1273,Dual,['5.5'],['72.1'],Android
1274,Single,['5.0'],['69.2'],Android
1275,Single,['4.5'],['65.3'],Android
1276,Single,['5.0'],['67.2'],Android
1277,Single,['4.0'],['53.1'],Android
1278,Yes,['4.0'],[],Android
1279,Dual,['5.0'],['71.7'],Android
1280,Single,['4.5'],['65.2'],Android
1281,Dual,['5.5'],['71.5'],Android
1282,Single,['5.0'],['64.0'],Android
1283,Yes,['10.1'],['65.3'],Android
1284,Single,['4.5'],['65.2'],Android
1285,Single,['4.5'],['66.1'],Android
1286,Single,['8.0'],['71.7'],Android
1287,Single,['7.0'],['74.5'],Android
1288,Single,['4.5'],['62.9'],Android
1289,Single,['7.0'],['59.1'],Android
1290,Dual,['4.7'],['70.1'],Android
1291,Single,['6.1'],['75.2'],Android
1292,Single,['4.0'],['58.4'],Android
1293,Single,['3.5'],['51.7'],Android
1294,Dual,['5.5'],['72.1'],Android
1295,Dual,['5.0'],['69.2'],Android
1296,Single,['5.0'],['69.1'],Android
1297,Dual,['4.5'],['62.3'],Android
1298,Yes,['4.3'],['58.6'],Windows
1299,Dual,['2.4'],['26.3'],
1300,Dual,['1.8'],['20.8'],
1301,Single,['4.7'],['68.1'],Android
1302,Dual,['5.0'],['66.4'],Android
1303,Dual,['5.0'],['65.9'],Android
1304,Single,['3.5'],['50.2'],Android
1305,Dual,['4.5'],['62.4'],Android
1306,other,['7.0'],['59.1'],Android
1307,Single,['7.0'],['58.7'],Android
1308,Dual,['4.7'],['70.1'],Android
1309,Single,['4.0'],['57.3'],Android
1310,Single,['4.0'],['56.2'],Android
1311,Dual,['3.5'],['50.3'],Android
1312,Single,['4.7'],['67.0'],Android
1313,Single,['4.5'],['60.2'],Android
1314,Single,['4.5'],['61.5'],Android
1315,Single,['4.0'],['55.8'],Android
1316,Single,['4.0'],['59.5'],Android
1317,Single,['4.0'],['57.4'],Windows
1318,Single,['6.1'],['73.2'],Android
1319,Single,['5.0'],['69.3'],Android
1320,Dual,['4.5'],['62.2'],Android
1321,Dual,['4.3'],['60.3'],Android
1322,Yes,['3.5'],['50.7'],Android
1323,Single,['10.1'],['65.3'],Android
1324,Single,['4.5'],['61.7'],Android
1325,Single,['3.5'],['51.2'],Android
1326,Single,['3.5'],['52.6'],Android
1327,Single,['4.3'],['58.8'],Android
1328,Single,['3.5'],['51.6'],Android
1329,Single,['4.5'],['61.7'],Android
1330,Single,['4.0'],['59.4'],Android
1331,Single,['7.0'],['59.5'],Android
1332,Single,['2.8'],['40.7'],Android
1333,Single,['3.5'],['51.7'],Android
1334,Dual,['4.0'],['59.4'],Android
1335,Single,['4.0'],['59.0'],Android
1336,Single,['4.3'],[],Android
1337,Single,['4.3'],['61.7'],Android
1338,Single,['3.2'],['42.8'],Android
1339,Dual,['2.8'],['35.2'],
1340,Dual,['2.4'],['26.4'],
1341,Dual,['2.0'],['21.0'],
1342,Single,['3.5'],['49.0'],Android
1343,Dual,['2.4'],['31.3'],
1344,Single,['2.4'],['25.9'],
1345,Single,['3.5'],['51.9'],Android
1346,Single,['10.0'],['64.0'],Android
1347,Single,['4.5'],['66.2'],Android
1348,Single,['4.5'],['67.6'],Android
1349,Single,['4.5'],['67.6'],Android
1350,Single,['4.5'],['66.7'],Android
1351,Single,['4.3'],['61.7'],Android
1352,Single,['4.0'],['59.2'],Android
1353,Single,['3.5'],['52.2'],
1354,Single,['2.4'],['37.6'],
1355,Single,['7.0'],['60.3'],Android
1356,No,['7.0'],['60.3'],Android
1357,Single,['2.0'],['21.4'],
1358,Dual,['3.2'],['47.8'],Android
1359,Single,['3.2'],['49.1'],Android
1360,Single,['2.6'],['29.0'],Android
1361,Single,['3.8'],['52.7'],Android
1362,Single,['2.0'],['18.6'],
1363,Single,['4.0'],['59.2'],Android
1364,Single,['3.7'],['55.1'],Android
1365,Single,['3.5'],['51.1'],Android
1366,Single,['3.8'],['55.2'],Android
1367,Dual,['2.8'],['40.9'],
